Wikidata_ID,Bangla_Wikipedia_Title,Wikipedia_URL,Category_Discovered_In,Depth
Q4345455,"ভারতের সাধারণ নির্বাচন, ১৯৩৪","https://bn.wikipedia.org/wiki/ভারতের_সাধারণ_নির্বাচন,_১৯৩৪",বিষয়শ্রেণী:বাংলাদেশের ইতিহাস অসম্পূর্ণ,1
Q14943865,"ভারতের সাধারণ নির্বাচন, ১৯৪৫","https://bn.wikipedia.org/wiki/ভারতের_সাধারণ_নির্বাচন,_১৯৪৫",বিষয়শ্রেণী:বাংলাদেশের ইতিহাস অসম্পূর্ণ,1
Q64347956,মধ্যপাড়া কঠিন শিলা খনি,https://bn.wikipedia.org/wiki/মধ্যপাড়া_কঠিন_শিলা_খনি,বিষয়শ্রেণী:বাংলাদেশের খনিজ সম্পদ,1
Q245551,১৯৭০ ভোলা ঘূর্ণিঝড়,https://bn.wikipedia.org/wiki/১৯৭০_ভোলা_ঘূর্ণিঝড়,বিষয়শ্রেণী:বাংলাদেশের পরিবেশ,1
Q19363828,২০১৪ সালে সুন্দরবনে তৈল নিঃসরণ বিপর্যয়,https://bn.wikipedia.org/wiki/২০১৪_সালে_সুন্দরবনে_তৈল_নিঃসরণ_বিপর্যয়,বিষয়শ্রেণী:বাংলাদেশের পরিবেশ,1
Q1163759,গাঙ্গেয় ব-দ্বীপ,https://bn.wikipedia.org/wiki/গাঙ্গেয়_ব-দ্বীপ,বিষয়শ্রেণী:বাংলাদেশের পরিবেশ,1
Q6983075,নয়াকৃষি,https://bn.wikipedia.org/wiki/নয়াকৃষি,বিষয়শ্রেণী:বাংলাদেশের পরিবেশ,1
Q13058854,"পরিবেশ, বন ও জলবায়ু পরিবর্তন মন্ত্রণালয় (বাংলাদেশ)","https://bn.wikipedia.org/wiki/পরিবেশ,_বন_ও_জলবায়ু_পরিবর্তন_মন্ত্রণালয়_(বাংলাদেশ)",বিষয়শ্রেণী:বাংলাদেশের পরিবেশ,1
Q5133467,বাংলাদেশে জলবায়ু পরিবর্তনের প্রভাব,https://bn.wikipedia.org/wiki/বাংলাদেশে_জলবায়ু_পরিবর্তনের_প্রভাব,বিষয়শ্রেণী:বাংলাদেশের পরিবেশ,1
Q21564064,বাংলাদেশের জলবায়ু,https://bn.wikipedia.org/wiki/বাংলাদেশের_জলবায়ু,বিষয়শ্রেণী:বাংলাদেশের পরিবেশ,1
